Saint-Denis,974,131649,142.8,27
Saint-Denis,93,85994,12.4,44
Saint-étienne,42,180438,80.0,14
Saint-Germain-en-Laye,78,38124,48.3,174
Saint-Herblain,44,43728,30.0,137
Saint-Louis,974,43491,98.9,142
Saint-Malo,35,50697,36.6,104
Saint-Martin-d'Hères,38,35769,9.3,196
Saint-Maur-des-Fossés,94,73071,11.3,59
Saint-Nazaire,44,65868,46.8,67
Saint-Ouen,93,39719,4.3,164
Saint-Paul,974,87629,241.3,43
Saint-Pierre,974,69009,96.0,65
Saint-Priest,69,40944,29.7,155
Saint-Quentin,2,59049,22.6,82
Salon-de-Provence,13,3709,70.3,186
Sarcelles,95,57851,8.5,84
Sartrouville,78,50222,8.5,110
Savigny-sur-Orge,91,36219,7.0,192
Sète,34,39579,24.2,166
Sevran,93,47029,7.3,122
Strasbourg,67,263941,78.3,7
Suresnes,92,39697,3.8,165
Talence,33,37228,8.4,183
Tarbes,65,46433,15.3,128
Thionville,57,40863,49.9,158
Toulon,83,160712,42.8,15
Toulouse,31,390301,118.3,4
Tourcoing,59,93531,15.2,41
Tours,37,132677,34.4,26
Troyes,10,60903,13.2,76
Valence,26,64222,36.7,70
Valenciennes,59,41251,13.8,152
Vannes,56,51759,32.3,97
Vaulx-en-Velin,69,39128,21.0,169
Vénissieux,69,56014,15.3,87
Versailles,78,85761,26.2,46
Villejuif,94,47414,5.3,120
Villeneuve-d'Ascq,59,64997,22.7,69
Villeurbanne,69,124152,14.5,28
Vincennes,94,43580,1.9,140
Vitrolles,13,36739,36.6,188
Vitry-sur-Seine,94,78908,11.7,51
Wattrelos,59,42719,13.4,147
